Match Number,Stage,Host Team,Away Team,Venue,City,Country,Date,Time,Lounge Type,Original Price,Original Currency,Price (USD),Portal
21,"GROUP STAGE MATCHES","Ghana","Panama","Toronto Stadium","Toronto","Canada","June 17","Wednesday, 7pm ET","VIP ",4550,CAD,3321,Canada
21,"GROUP STAGE MATCHES","Ghana","Panama","Toronto Stadium","Toronto","Canada","June 17","Wednesday, 7pm ET","Lounge 1930 ",4550,CAD,3321,Canada
21,"GROUP STAGE MATCHES","Ghana","Panama","Toronto Stadium","Toronto","Canada","June 17","Wednesday, 7pm ET","Trophy Lounge",3750,CAD,2737,Canada
21,"GROUP STAGE MATCHES","Ghana","Panama","Toronto Stadium","Toronto","Canada","June 17","Wednesday, 7pm ET","Champions Club",3300,CAD,2409,Canada
21,"GROUP STAGE MATCHES","Ghana","Panama","Toronto Stadium","Toronto","Canada","June 17","Wednesday, 7pm ET","FIFA Pavilion",2500,CAD,1825,Canada
22,"GROUP STAGE MATCHES","England","Croatia","Dallas Stadium","Arlington","United States","June 17","Wednesday, 3pm CT","Pitchside Lounge",3450,USD,3450,United States
22,"GROUP STAGE MATCHES","England","Croatia","Dallas Stadium","Arlington","United States","June 17","Wednesday, 3pm CT","VIP ",3000,USD,3000,United States
22,"GROUP STAGE MATCHES","England","Croatia","Dallas Stadium","Arlington","United States","June 17","Wednesday, 3pm CT","Trophy Lounge",2500,USD,2500,United States
23,"GROUP STAGE MATCHES","Portugal","FIFA Play-Off 1","Houston Stadium","Houston","United States","June 17","Wednesday, 12pm CT","Pitchside Lounge",3200,USD,3200,United States
23,"GROUP STAGE MATCHES","Portugal","FIFA Play-Off 1","Houston Stadium","Houston","United States","June 17","Wednesday, 12pm CT","VIP ",2700,USD,2700,United States
23,"GROUP STAGE MATCHES","Portugal","FIFA Play-Off 1","Houston Stadium","Houston","United States","June 17","Wednesday, 12pm CT","Trophy Lounge",2475,USD,2475,United States
24,"GROUP STAGE MATCHES","Uzbekistan","Colombia","Mexico City Stadium","Ciudad de México","Mexico","June 17","Wednesday, 9pm CT","Pitchside Lounge",110000,MXN,6355,Mexico
24,"GROUP STAGE MATCHES","Uzbekistan","Colombia","Mexico City Stadium","Ciudad de México","Mexico","June 17","Wednesday, 9pm CT","VIP ",85000,MXN,4910,Mexico
24,"GROUP STAGE MATCHES","Uzbekistan","Colombia","Mexico City Stadium","Ciudad de México","Mexico","June 17","Wednesday, 9pm CT","Trophy Lounge",75000,MXN,4333,Mexico
24,"GROUP STAGE MATCHES","Uzbekistan","Colombia","Mexico City Stadium","Ciudad de México","Mexico","June 17","Wednesday, 9pm CT","Champions Club",67500,MXN,3899,Mexico
24,"GROUP STAGE MATCHES","Uzbekistan","Colombia","Mexico City Stadium","Ciudad de México","Mexico","June 17","Wednesday, 9pm CT","FIFA Pavilion",58370,MXN,3372,Mexico
25,"GROUP STAGE MATCHES","European Play-Off D","South Africa","Atlanta Stadium","Atlanta","United States","June 18","Thursday, 12pm ET","Pitchside Lounge",3350,USD,3350,United States
25,"GROUP STAGE MATCHES","European Play-Off D","South Africa","Atlanta Stadium","Atlanta","United States","June 18","Thursday, 12pm ET","VIP ",2800,USD,2800,United States
25,"GROUP STAGE MATCHES","European Play-Off D","South Africa","Atlanta Stadium","Atlanta","United States","June 18","Thursday, 12pm ET","Trophy Lounge",2300,USD,2300,United States
25,"GROUP STAGE MATCHES","European Play-Off D","South Africa","Atlanta Stadium","Atlanta","United States","June 18","Thursday, 12pm ET","Champions Club",2000,USD,2000,United States
26,"GROUP STAGE MATCHES","Switzerland","European Play-Off A","Los Angeles Stadium","Inglewood","United States","June 18","Thursday, 12pm PT","Pitchside Lounge",3400,USD,3400,United States
26,"GROUP STAGE MATCHES","Switzerland","European Play-Off A","Los Angeles Stadium","Inglewood","United States","June 18","Thursday, 12pm PT","VIP ",3000,USD,3000,United States
26,"GROUP STAGE MATCHES","Switzerland","European Play-Off A","Los Angeles Stadium","Inglewood","United States","June 18","Thursday, 12pm PT","Trophy Lounge",2500,USD,2500,United States
26,"GROUP STAGE MATCHES","Switzerland","European Play-Off A","Los Angeles Stadium","Inglewood","United States","June 18","Thursday, 12pm PT","Champions Club",2200,USD,2200,United States
26,"GROUP STAGE MATCHES","Switzerland","European Play-Off A","Los Angeles Stadium","Inglewood","United States","June 18","Thursday, 12pm PT","FIFA Pavilion",1510,USD,1510,United States
27,"GROUP STAGE MATCHES","Canada","Qatar","BC Place Vancouver","Vancouver","Canada","June 18","Thursday, 3pm PT","Pitchside Lounge",9150,CAD,6679,Canada
27,"GROUP STAGE MATCHES","Canada","Qatar","BC Place Vancouver","Vancouver","Canada","June 18","Thursday, 3pm PT","VIP ",6275,CAD,4580,Canada
27,"GROUP STAGE MATCHES","Canada","Qatar","BC Place Vancouver","Vancouver","Canada","June 18","Thursday, 3pm PT","Lounge 1930 ",6275,CAD,4580,Canada
27,"GROUP STAGE MATCHES","Canada","Qatar","BC Place Vancouver","Vancouver","Canada","June 18","Thursday, 3pm PT","Trophy Lounge",5300,CAD,3869,Canada
27,"GROUP STAGE MATCHES","Canada","Qatar","BC Place Vancouver","Vancouver","Canada","June 18","Thursday, 3pm PT","Champions Club",3875,CAD,2828,Canada
27,"GROUP STAGE MATCHES","Canada","Qatar","BC Place Vancouver","Vancouver","Canada","June 18","Thursday, 3pm PT","FIFA Pavilion",3575,CAD,2609,Canada
29,"GROUP STAGE MATCHES","Brazil","Haiti","Philadelphia Stadium","Philadelphia","United States","June 19","Friday, 9pm ET","Pitchside Lounge",3300,USD,3300,United States
29,"GROUP STAGE MATCHES","Brazil","Haiti","Philadelphia Stadium","Philadelphia","United States","June 19","Friday, 9pm ET","VIP ",2800,USD,2800,United States
29,"GROUP STAGE MATCHES","Brazil","Haiti","Philadelphia Stadium","Philadelphia","United States","June 19","Friday, 9pm ET","Trophy Lounge",2490,USD,2490,United States
29,"GROUP STAGE MATCHES","Brazil","Haiti","Philadelphia Stadium","Philadelphia","United States","June 19","Friday, 9pm ET","Champions Club",2310,USD,2310,United States
30,"GROUP STAGE MATCHES","Scotland","Morocco","Boston Stadium","Foxborough","United States","June 19","Friday, 6pm ET","Pitchside Lounge",3350,USD,3350,United States
