Match Number,Host Team,Away Team,Venue,City,Country,Date,Time,Lounge Type,Price USD
37,"Uruguay","Cabo Verde","Miami Stadium","Miami Gardens","United States","June 21","Sunday, 6pm ET","Pitchside Lounge",3940
37,"Uruguay","Cabo Verde","Miami Stadium","Miami Gardens","United States","June 21","Sunday, 6pm ET","VIP ",3000
37,"Uruguay","Cabo Verde","Miami Stadium","Miami Gardens","United States","June 21","Sunday, 6pm ET","Trophy Lounge",2475
37,"Uruguay","Cabo Verde","Miami Stadium","Miami Gardens","United States","June 21","Sunday, 6pm ET","Champions Club",2100
37,"Uruguay","Cabo Verde","Miami Stadium","Miami Gardens","United States","June 21","Sunday, 6pm ET","FIFA Pavilion",1825
43,"Argentina","Austria","Dallas Stadium","Arlington","United States","June 22","Monday, 12pm CT","Pitchside Lounge",3450
43,"Argentina","Austria","Dallas Stadium","Arlington","United States","June 22","Monday, 12pm CT","VIP ",3000
43,"Argentina","Austria","Dallas Stadium","Arlington","United States","June 22","Monday, 12pm CT","Trophy Lounge",2500
44,"Jordan","Algeria","San Francisco Bay Area Stadium","Santa Clara","United States","June 22","Monday, 8pm PT","Pitchside Lounge",3200
44,"Jordan","Algeria","San Francisco Bay Area Stadium","Santa Clara","United States","June 22","Monday, 8pm PT","VIP ",2800
44,"Jordan","Algeria","San Francisco Bay Area Stadium","Santa Clara","United States","June 22","Monday, 8pm PT","Trophy Lounge",2250
44,"Jordan","Algeria","San Francisco Bay Area Stadium","Santa Clara","United States","June 22","Monday, 8pm PT","Champions Club",2000
41,"Norway","Senegal","New York New Jersey Stadium","East Rutherford","United States","June 22","Monday, 8pm ET","Pitchside Lounge",3500
41,"Norway","Senegal","New York New Jersey Stadium","East Rutherford","United States","June 22","Monday, 8pm ET","VIP ",3200
41,"Norway","Senegal","New York New Jersey Stadium","East Rutherford","United States","June 22","Monday, 8pm ET","Trophy Lounge",3000
41,"Norway","Senegal","New York New Jersey Stadium","East Rutherford","United States","June 22","Monday, 8pm ET","Champions Club",2800
41,"Norway","Senegal","New York New Jersey Stadium","East Rutherford","United States","June 22","Monday, 8pm ET","FIFA Pavilion",1800
42,"France","FIFA Play-Off 2","Philadelphia Stadium","Philadelphia","United States","June 22","Monday, 5pm ET","Pitchside Lounge",3200
42,"France","FIFA Play-Off 2","Philadelphia Stadium","Philadelphia","United States","June 22","Monday, 5pm ET","VIP ",2700
42,"France","FIFA Play-Off 2","Philadelphia Stadium","Philadelphia","United States","June 22","Monday, 5pm ET","Trophy Lounge",2320
42,"France","FIFA Play-Off 2","Philadelphia Stadium","Philadelphia","United States","June 22","Monday, 5pm ET","Champions Club",2050
49,"Scotland","Brazil","Miami Stadium","Miami Gardens","United States","June 24","Wednesday, 6pm ET","Pitchside Lounge",5500
49,"Scotland","Brazil","Miami Stadium","Miami Gardens","United States","June 24","Wednesday, 6pm ET","VIP ",3700
49,"Scotland","Brazil","Miami Stadium","Miami Gardens","United States","June 24","Wednesday, 6pm ET","Trophy Lounge",3400
49,"Scotland","Brazil","Miami Stadium","Miami Gardens","United States","June 24","Wednesday, 6pm ET","Champions Club",3000
49,"Scotland","Brazil","Miami Stadium","Miami Gardens","United States","June 24","Wednesday, 6pm ET","FIFA Pavilion",2600
50,"Morocco","Haiti","Atlanta Stadium","Atlanta","United States","June 24","Wednesday, 6pm ET","Pitchside Lounge",3350
50,"Morocco","Haiti","Atlanta Stadium","Atlanta","United States","June 24","Wednesday, 6pm ET","VIP ",2850
50,"Morocco","Haiti","Atlanta Stadium","Atlanta","United States","June 24","Wednesday, 6pm ET","Trophy Lounge",2275
50,"Morocco","Haiti","Atlanta Stadium","Atlanta","United States","June 24","Wednesday, 6pm ET","Champions Club",2050
45,"England","Ghana","Boston Stadium","Foxborough","United States","June 23","Tuesday, 4pm ET","Pitchside Lounge",3200
45,"England","Ghana","Boston Stadium","Foxborough","United States","June 23","Tuesday, 4pm ET","VIP ",2700
45,"England","Ghana","Boston Stadium","Foxborough","United States","June 23","Tuesday, 4pm ET","Trophy Lounge",2490
45,"England","Ghana","Boston Stadium","Foxborough","United States","June 23","Tuesday, 4pm ET","Champions Club",2310
47,"Portugal","Uzbekistan","Houston Stadium","Houston","United States","June 23","Tuesday, 12pm CT","Pitchside Lounge",3200
47,"Portugal","Uzbekistan","Houston Stadium","Houston","United States","June 23","Tuesday, 12pm CT","VIP ",2710
47,"Portugal","Uzbekistan","Houston Stadium","Houston","United States","June 23","Tuesday, 12pm CT","Trophy Lounge",2510
56,"Ecuador","Germany","New York New Jersey Stadium","East Rutherford","United States","June 25","Thursday, 4pm ET","Pitchside Lounge",4100
56,"Ecuador","Germany","New York New Jersey Stadium","East Rutherford","United States","June 25","Thursday, 4pm ET","VIP ",3400
56,"Ecuador","Germany","New York New Jersey Stadium","East Rutherford","United States","June 25","Thursday, 4pm ET","Trophy Lounge",3200
56,"Ecuador","Germany","New York New Jersey Stadium","East Rutherford","United States","June 25","Thursday, 4pm ET","Champions Club",3000
56,"Ecuador","Germany","New York New Jersey Stadium","East Rutherford","United States","June 25","Thursday, 4pm ET","FIFA Pavilion",2100
57,"Japan","European Play-Off B","Dallas Stadium","Arlington","United States","June 25","Thursday, 6pm CT","Pitchside Lounge",3450
57,"Japan","European Play-Off B","Dallas Stadium","Arlington","United States","June 25","Thursday, 6pm CT","VIP ",3000
57,"Japan","European Play-Off B","Dallas Stadium","Arlington","United States","June 25","Thursday, 6pm CT","Trophy Lounge",2350
52,"European Play-Off A","Qatar","Seattle Stadium","Seattle","United States","June 24","Wednesday, 12pm PT","Pitchside Lounge",4550
52,"European Play-Off A","Qatar","Seattle Stadium","Seattle","United States","June 24","Wednesday, 12pm PT","VIP ",3850
52,"European Play-Off A","Qatar","Seattle Stadium","Seattle","United States","June 24","Wednesday, 12pm PT","Trophy Lounge",2875
52,"European Play-Off A","Qatar","Seattle Stadium","Seattle","United States","June 24","Wednesday, 12pm PT","Champions Club",2000
52,"European Play-Off A","Qatar","Seattle Stadium","Seattle","United States","June 24","Wednesday, 12pm PT","FIFA Pavilion",1575
55,"Curaçao","Côte d'Ivoire","Philadelphia Stadium","Philadelphia","United States","June 25","Thursday, 4pm ET","Pitchside Lounge",3200
55,"Curaçao","Côte d'Ivoire","Philadelphia Stadium","Philadelphia","United States","June 25","Thursday, 4pm ET","VIP ",2700
55,"Curaçao","Côte d'Ivoire","Philadelphia Stadium","Philadelphia","United States","June 25","Thursday, 4pm ET","Trophy Lounge",2250
55,"Curaçao","Côte d'Ivoire","Philadelphia Stadium","Philadelphia","United States","June 25","Thursday, 4pm ET","Champions Club",1950
60,"Paraguay","Australia","San Francisco Bay Area Stadium","Santa Clara","United States","June 25","Thursday, 7pm PT","Pitchside Lounge",3200
60,"Paraguay","Australia","San Francisco Bay Area Stadium","Santa Clara","United States","June 25","Thursday, 7pm PT","VIP ",2800
60,"Paraguay","Australia","San Francisco Bay Area Stadium","Santa Clara","United States","June 25","Thursday, 7pm PT","Trophy Lounge",2250
60,"Paraguay","Australia","San Francisco Bay Area Stadium","Santa Clara","United States","June 25","Thursday, 7pm PT","Champions Club",2000
61,"Norway","France","Boston Stadium","Foxborough","United States","June 26","Friday, 3pm ET","Pitchside Lounge",3900
61,"Norway","France","Boston Stadium","Foxborough","United States","June 26","Friday, 3pm ET","VIP ",3300
61,"Norway","France","Boston Stadium","Foxborough","United States","June 26","Friday, 3pm ET","Trophy Lounge",2700
61,"Norway","France","Boston Stadium","Foxborough","United States","June 26","Friday, 3pm ET","Champions Club",2500
58,"Tunisia","Netherlands","Kansas City Stadium","Kansas City","United States","June 25","Thursday, 6pm CT","Pitchside Lounge",3150
58,"Tunisia","Netherlands","Kansas City Stadium","Kansas City","United States","June 25","Thursday, 6pm CT","VIP ",2700
58,"Tunisia","Netherlands","Kansas City Stadium","Kansas City","United States","June 25","Thursday, 6pm CT","Trophy Lounge",2310
58,"Tunisia","Netherlands","Kansas City Stadium","Kansas City","United States","June 25","Thursday, 6pm CT","Champions Club",2100
58,"Tunisia","Netherlands","Kansas City Stadium","Kansas City","United States","June 25","Thursday, 6pm CT","FIFA Pavilion",1400
67,"Panama","England","New York New Jersey Stadium","East Rutherford","United States","June 27","Saturday, 5pm ET","Pitchside Lounge",4200
67,"Panama","England","New York New Jersey Stadium","East Rutherford","United States","June 27","Saturday, 5pm ET","VIP ",3500
67,"Panama","England","New York New Jersey Stadium","East Rutherford","United States","June 27","Saturday, 5pm ET","Trophy Lounge",3300
67,"Panama","England","New York New Jersey Stadium","East Rutherford","United States","June 27","Saturday, 5pm ET","Champions Club",3000
67,"Panama","England","New York New Jersey Stadium","East Rutherford","United States","June 27","Saturday, 5pm ET","FIFA Pavilion",2400
68,"Croatia","Ghana","Philadelphia Stadium","Philadelphia","United States","June 27","Saturday, 5pm ET","Pitchside Lounge",3300
68,"Croatia","Ghana","Philadelphia Stadium","Philadelphia","United States","June 27","Saturday, 5pm ET","VIP ",2800
68,"Croatia","Ghana","Philadelphia Stadium","Philadelphia","United States","June 27","Saturday, 5pm ET","Trophy Lounge",2375
68,"Croatia","Ghana","Philadelphia Stadium","Philadelphia","United States","June 27","Saturday, 5pm ET","Champions Club",2000
63,"Egypt","IR Iran","Seattle Stadium","Seattle","United States","June 26","Friday, 8pm PT","Pitchside Lounge",4300
63,"Egypt","IR Iran","Seattle Stadium","Seattle","United States","June 26","Friday, 8pm PT","VIP ",3600
63,"Egypt","IR Iran","Seattle Stadium","Seattle","United States","June 26","Friday, 8pm PT","Trophy Lounge",2500
63,"Egypt","IR Iran","Seattle Stadium","Seattle","United States","June 26","Friday, 8pm PT","Champions Club",2100
63,"Egypt","IR Iran","Seattle Stadium","Seattle","United States","June 26","Friday, 8pm PT","FIFA Pavilion",1525
65,"Cabo Verde","Saudi Arabia","Houston Stadium","Houston","United States","June 26","Friday, 7pm CT","Pitchside Lounge",3300
65,"Cabo Verde","Saudi Arabia","Houston Stadium","Houston","United States","June 26","Friday, 7pm CT","VIP ",2800
